	Condition	Replicate	Threshold	Peaks
0	Ctrl	1	1.0	169055
1	Ctrl	2	1.0	216774
2	Ctrl	3	1.0	199186
3	MB6	1	1.0	119360
4	MB6	2	1.0	127984
5	MB6	3	1.0	172253
6	MB6Pen	1	1.0	145529
7	MB6Pen	2	1.0	179314
8	Ctrl	1	2.0	113685
9	Ctrl	2	2.0	162444
10	Ctrl	3	2.0	151213
11	MB6	1	2.0	76705
12	MB6	2	2.0	83221
13	MB6	3	2.0	84666
14	MB6Pen	1	2.0	108242
15	MB6Pen	2	2.0	126810
16	Ctrl	1	3.0	78156
17	Ctrl	2	3.0	120943
18	Ctrl	3	3.0	99178
19	MB6	1	3.0	55797
20	MB6	2	3.0	56338
21	MB6	3	3.0	61664
22	MB6Pen	1	3.0	78418
23	MB6Pen	2	3.0	94355
24	Ctrl	1	4.0	60242
25	Ctrl	2	4.0	91514
26	Ctrl	3	4.0	80531
27	MB6	1	4.0	44301
28	MB6	2	4.0	42923
29	MB6	3	4.0	48487
30	MB6Pen	1	4.0	60235
31	MB6Pen	2	4.0	74235
32	Ctrl	1	5.0	49594
33	Ctrl	2	5.0	78668
34	Ctrl	3	5.0	68067
35	MB6	1	5.0	36640
36	MB6	2	5.0	34385
37	MB6	3	5.0	40009
38	MB6Pen	1	5.0	49253
39	MB6Pen	2	5.0	58005
