seqnames	start	end	width	strand	Conc	Conc_Ctrl	Conc_MB6	Fold	p.value	FDR
chr19	2475777	2477056	1280	*	6.28	5.42	6.82	-1.4	2.26e-12	7.74e-08
chr2	126400788	126401631	844	*	5.82	6.34	4.99	1.36	3.81e-09	4.44e-05
chrX	83989782	83990425	644	*	4.9	5.57	3.6	1.97	3.9e-09	4.44e-05
chr8	130603778	130604845	1068	*	6	6.49	5.24	1.25	1.04e-08	8.87e-05
chr17	74732508	74734223	1716	*	7.34	6.89	7.68	-0.79	3.31e-07	0.00226
chr17	7387460	7388493	1034	*	6.36	5.75	6.79	-1.04	5.34e-07	0.00304
chr16	90061390	90062614	1225	*	5.67	4.88	6.18	-1.3	8.72e-07	0.00426
chr6	148737426	148738016	591	*	4.87	5.42	3.95	1.47	1.96e-06	0.00837
chr8	130560644	130561041	398	*	4.56	5.13	3.6	1.53	3.17e-06	0.0121
chr18	60759561	60760176	616	*	4.92	5.43	4.1	1.33	5.99e-06	0.0179
chr8	77521432	77521869	438	*	4.66	5.22	3.72	1.5	6.2e-06	0.0179
chr5	166659501	166660255	755	*	4.92	5.42	4.13	1.3	6.59e-06	0.0179
chr1	221951093	221951453	361	*	4.54	5.1	3.6	1.51	6.8e-06	0.0179
chr3	2677199	2678053	855	*	5.05	5.55	4.29	1.26	9.53e-06	0.0233
chr3	59864769	59865412	644	*	4.42	5	3.42	1.59	1.12e-05	0.0255
chrX	65145907	65146901	995	*	5.62	6.04	5.02	1.02	1.31e-05	0.0267
chr20	48806859	48808555	1697	*	6.7	6.25	7.04	-0.78	1.33e-05	0.0267
chr4	72096271	72097193	923	*	4.86	5.37	4.07	1.3	1.47e-05	0.0279
chr19	6530704	6531581	878	*	5.67	5.08	6.08	-1	1.85e-05	0.0333
chr8	118452143	118452507	365	*	4.84	5.34	4.06	1.29	2.27e-05	0.0358
chr2	183546863	183547359	497	*	4.5	5.04	3.61	1.43	2.31e-05	0.0358
chrX	4158073	4159313	1241	*	5.9	6.31	5.34	0.97	2.38e-05	0.0358
chr2	211939862	211940393	532	*	5.19	5.64	4.52	1.12	2.44e-05	0.0358
chr10	8601777	8602198	422	*	5.51	5.94	4.9	1.04	2.67e-05	0.0358
chr5	14286726	14287740	1015	*	5.64	6.07	5.02	1.05	2.78e-05	0.0358
chr19	12904264	12904947	684	*	5.71	5.14	6.12	-0.98	2.86e-05	0.0358
chr1	194258647	194259214	568	*	4.74	5.25	3.94	1.31	2.96e-05	0.0358
chr4	59956898	59957746	849	*	5.25	5.7	4.58	1.13	2.96e-05	0.0358
chr17	2304317	2305660	1344	*	7.07	6.64	7.41	-0.77	3.11e-05	0.0358
chr2	72353243	72353904	662	*	5.18	5.64	4.51	1.14	3.16e-05	0.0358
chr2	206399658	206400126	469	*	4.4	4.94	3.51	1.43	3.24e-05	0.0358
chr11	58493919	58494645	727	*	4.12	4.7	3.12	1.59	3.53e-05	0.037
chr19	2049926	2051696	1771	*	6.72	6.27	7.07	-0.8	3.74e-05	0.037
chr3	191013736	191014311	576	*	5.79	6.18	5.27	0.91	3.75e-05	0.037
chr12	43875713	43876996	1284	*	6.15	6.52	5.66	0.86	3.79e-05	0.037
chr19	10764219	10765536	1318	*	6.67	6.24	7	-0.76	4.09e-05	0.037
chr6	19587248	19588197	950	*	5.21	5.66	4.55	1.11	4.11e-05	0.037
chr10	85955716	85956268	553	*	4.58	5.1	3.77	1.33	4.21e-05	0.037
chr4	47369615	47370591	977	*	6.52	6.85	6.08	0.78	4.22e-05	0.037
chr20	16688314	16688727	414	*	4.16	4.75	3.15	1.6	4.34e-05	0.0371
chr16	65797244	65798141	898	*	6.02	6.39	5.52	0.87	4.75e-05	0.0397
chr11	64545184	64546721	1538	*	7.36	6.94	7.68	-0.73	5.16e-05	0.0421
chr2	167324741	167325482	742	*	5.09	5.55	4.39	1.16	5.34e-05	0.0425
chr17	43225488	43226419	932	*	6.31	5.82	6.68	-0.87	5.63e-05	0.0434
chr10	107666160	107666765	606	*	5.97	6.36	5.45	0.9	5.87e-05	0.0434
chr1	150551375	150552540	1166	*	6.1	5.62	6.47	-0.85	5.91e-05	0.0434
chr2	13246453	13246820	368	*	4.81	5.29	4.09	1.21	5.96e-05	0.0434
chr8	103973705	103974444	740	*	4.63	5.14	3.86	1.28	6.43e-05	0.0453
chr16	73430410	73431036	627	*	4.74	5.24	3.95	1.29	6.48e-05	0.0453
chr11	65624643	65625957	1315	*	6.68	6.25	7.02	-0.77	7.01e-05	0.048
chr20	17595777	17597028	1252	*	5.93	6.3	5.43	0.87	7.31e-05	0.0491
