seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGene	DistanceToNearest
chr19	2475777	2477056	1280	*	6.95	7.57	5.81	1.77	1.46e-16	1.14e-11	GADD45B	0
chr11	13237760	13238567	808	*	6.43	6.89	5.75	1.14	2.36e-14	9.24e-10	ARNTL	59631
chr22	38901834	38902898	1065	*	6.7	7.12	6.11	1.01	1.5e-13	3.91e-09	DDX17	0
chrX	83989782	83990425	644	*	5.35	4.28	5.96	-1.68	5.51e-12	1.08e-07	SETP4	19718
chr1	175440040	175440646	607	*	5.41	5.96	4.51	1.45	8.06e-12	1.23e-07	TNR	0
chr16	27214668	27215611	944	*	7.38	7.77	6.84	0.92	9.43e-12	1.23e-07	KDM8	0
chr10	74056904	74058243	1340	*	7.51	7.83	7.1	0.73	1.52e-11	1.69e-07	DDIT4	21110
chr3	47017751	47018665	915	*	6.72	7.12	6.17	0.95	9.1e-11	8.9e-07	CCDC12	0
chr17	41399809	41401237	1429	*	8.01	8.37	7.52	0.85	1.03e-10	8.95e-07	LINC00854	16471
chr17	41465610	41466853	1244	*	7.9	8.27	7.39	0.88	1.19e-10	9.07e-07	LINC00910	0
chr19	4399987	4400800	814	*	6.62	7.05	6.01	1.04	1.28e-10	9.07e-07	SH3GL1	0
chr11	63741611	63742540	930	*	6.76	7.12	6.29	0.83	2.48e-10	1.61e-06	COX8A; AP000721.4	0
chr2	126400788	126401631	844	*	6.31	5.72	6.73	-1.02	8.14e-10	4.9e-06	AC097499.1	66914
chr6	58776479	58777018	540	*	7.85	8.23	7.33	0.89	1.01e-09	5.66e-06	RP11-143A22.1	262619
chr19	45970734	45971330	597	*	5.73	6.27	4.86	1.41	1.15e-09	6.01e-06	ERCC1; FOSB	0
chr17	8150971	8151596	626	*	5.67	6.2	4.83	1.37	1.41e-09	6.47e-06	CTC1; PFAS	0
chr17	74732508	74734223	1716	*	7.97	8.43	7.28	1.15	1.41e-09	6.47e-06	RP11-318A15.7; SRSF2; MFSD11; MIR636	0
chr19	13957328	13958196	869	*	6.38	6.8	5.8	0.99	2.24e-09	9.71e-06	MIR23A	9855
chr19	17336849	17337860	1012	*	6.37	6.77	5.8	0.97	5.62e-09	2.23e-05	OCEL1	0
chr22	37171848	37172725	878	*	6.87	7.23	6.39	0.84	5.71e-09	2.23e-05	IFT27	0
chr17	4736375	4737025	651	*	5.98	6.42	5.35	1.07	7.31e-09	2.72e-05	MINK1	0
chr19	39342425	39342881	457	*	6.02	6.5	5.29	1.2	1.14e-08	4.06e-05	HNRNPL	0
chr7	154958282	154958896	615	*	6.03	6.43	5.48	0.95	1.25e-08	4.23e-05	RN7SKP280	14694
chr6	37598012	37598523	512	*	5.14	5.64	4.37	1.27	1.35e-08	4.38e-05	MDGA1	1760
chr10	79110318	79110826	509	*	4.21	4.85	3.07	1.78	1.44e-08	4.49e-05	KCNMA1	0
chr1	224914474	224915005	532	*	6.01	6.4	5.46	0.94	1.49e-08	4.49e-05	CNIH3; RP11-3L21.2	0
chr19	6530704	6531581	878	*	6.31	6.84	5.47	1.38	1.86e-08	5.2e-05	TNFSF9	0
chr11	64036761	64038087	1327	*	7.35	7.75	6.81	0.94	1.89e-08	5.2e-05	BAD; GPR137	0
chr19	10679282	10680036	755	*	6.87	7.24	6.36	0.88	1.93e-08	5.2e-05	CDKN2D	0
chr17	7387460	7388493	1034	*	7.01	7.55	6.13	1.42	2.17e-08	5.67e-05	ZBTB4; POLR2A	0
chr6	42896762	42898098	1337	*	8	8.3	7.62	0.67	2.59e-08	6.53e-05	CNPY3	0
chr16	27338023	27338987	965	*	6.32	6.68	5.85	0.83	2.75e-08	6.71e-05	IL4R	0
chr8	22101971	22103206	1236	*	7.17	7.45	6.83	0.63	2.9e-08	6.85e-05	MIR320A; POLR3D	0
chr11	64051912	64053603	1692	*	7.11	7.48	6.61	0.87	2.98e-08	6.85e-05	BAD; GPR137	0
chr16	2014557	2015337	781	*	6.58	7.03	5.92	1.12	4e-08	8.94e-05	RPS2; SNHG9	0
chr19	572168	573012	845	*	6.75	7.2	6.1	1.1	4.13e-08	8.97e-05	AC009005.2; BSG	0
chr6	58777080	58779336	2257	*	10.08	10.44	9.59	0.84	4.4e-08	9.29e-05	RP11-143A22.1	263220
chr19	1354388	1355272	885	*	6.14	6.6	5.46	1.14	4.52e-08	9.29e-05	MUM1	0
chr16	46391820	46392110	291	*	5.44	5.89	4.76	1.13	4.9e-08	9.83e-05	ANKRD26P1	111142
chr20	48806859	48808555	1697	*	7.33	7.79	6.64	1.15	5.86e-08	0.000114	CEBPB	0
chr3	43731983	43733213	1231	*	7.42	7.69	7.07	0.62	6.26e-08	0.000119	ANO10; ABHD5	0
chr19	1248935	1249385	451	*	6.09	6.61	5.28	1.33	7.06e-08	0.000131	MIDN	0
chr1	236073670	236074342	673	*	5.45	5.91	4.77	1.14	7.69e-08	0.00014	RNU6-968P	4372
chr19	45958941	45959811	871	*	5.52	5.96	4.88	1.08	8.27e-08	0.000147	ERCC1	0
chr16	72127259	72128271	1013	*	7.6	7.83	7.33	0.5	8.86e-08	0.000154	TXNL4B; DHX38	0
chr19	12902080	12902702	623	*	6.37	6.85	5.63	1.22	9.87e-08	0.000168	HOOK2; JUNB	0
chr5	912429	913178	750	*	7.07	7.38	6.67	0.71	1.1e-07	0.000179	TRIP13	0
chr16	75339263	75339760	498	*	5.32	5.78	4.65	1.13	1.1e-07	0.000179	CFDP1	0
chr19	12904264	12904947	684	*	6.36	6.89	5.52	1.36	1.27e-07	0.000196	HOOK2	0
chr1	203274149	203275566	1418	*	7.81	8.21	7.25	0.96	1.28e-07	0.000196	RP11-134P9.1; BTG2	0
chr16	90061390	90062614	1225	*	6.35	6.96	5.27	1.69	1.3e-07	0.000196	AFG3L1P	0
chr17	41381634	41382483	850	*	6.76	7.14	6.24	0.9	1.31e-07	0.000196	LINC00854	0
chr19	42746502	42747580	1079	*	7.36	7.73	6.85	0.88	1.33e-07	0.000196	GSK3A; AC006486.9; AC006486.1	0
chr8	99350405	99350842	438	*	4.01	4.68	2.72	1.96	1.4e-07	0.000202	KB-1458E12.1	32740
chr6	36646165	36647133	969	*	6.96	7.39	6.36	1.03	1.65e-07	0.000232	CDKN1A	0
chr22	39916806	39917149	344	*	4.52	5.1	3.52	1.57	1.66e-07	0.000232	ATF4	0
chr15	94372641	94373230	590	*	5.96	6.34	5.44	0.9	1.91e-07	0.000262	CTD-3049M7.1	0
chr9	79186587	79186946	360	*	6.24	6.63	5.71	0.91	2.07e-07	0.000278	AL161626.1	0
chr6	43737316	43738083	768	*	6.39	6.81	5.78	1.03	2.13e-07	0.000282	VEGFA	0
chr19	1605180	1606234	1055	*	6.55	6.93	6.03	0.9	2.43e-07	0.000313	UQCR11; UQCR11	0
chr12	49582088	49583158	1071	*	6.59	6.96	6.08	0.88	2.44e-07	0.000313	TUBA1A; TUBA1C	0
chr8	130603778	130604845	1068	*	6.5	5.98	6.88	-0.89	2.58e-07	0.000326	CCDC26	0
chr1	210770870	210772052	1183	*	7.1	7.41	6.71	0.7	2.76e-07	0.000342	HHAT	0
chr1	151138151	151138880	730	*	5.65	6.06	5.07	0.99	2.99e-07	0.000366	SCNM1; LYSMD1	0
chr5	97906335	97906765	431	*	3.19	1.46	3.96	-2.5	3.1e-07	0.000373	CTBP2P4	5279
chr1	150551375	150552540	1166	*	6.74	7.23	6.01	1.22	3.2e-07	0.000379	MCL1	0
chr2	133033289	133033613	325	*	5.85	6.27	5.26	1.01	3.28e-07	0.000383	AC097532.2	9754
chr13	31038404	31039427	1024	*	6.58	7.04	5.89	1.16	3.62e-07	0.000417	HMGB1	0
chr11	65189592	65189989	398	*	5.66	6.23	4.72	1.51	3.73e-07	0.000423	NEAT1	255
chr11	65274045	65275375	1331	*	6.09	6.73	4.93	1.8	3.81e-07	0.000426	MALAT1	105
chr2	18038303	18038891	589	*	5.39	5.83	4.75	1.08	4.19e-07	0.000456	KCNS3	20222
chr19	49216998	49217989	992	*	6.38	6.77	5.83	0.94	4.2e-07	0.000456	MAMSTR	0
chr1	121484371	121485484	1114	*	9.22	9.59	8.71	0.89	4.29e-07	0.00046	RP11-344P13.1	162049
chr10	124228332	124229102	771	*	5.62	6.03	5.03	1	4.51e-07	0.000477	HTRA1	0
chr17	40086417	40087038	622	*	6.09	6.47	5.56	0.91	4.7e-07	0.000481	ACLY; TTC25	0
chr17	4634443	4635295	853	*	5.89	6.32	5.27	1.04	4.71e-07	0.000481	MED11; RP11-314A20.5	0
chr19	45926705	45927761	1057	*	6.06	6.52	5.38	1.14	4.74e-07	0.000481	ERCC1	0
chr8	93961067	93961438	372	*	4.09	3	4.7	-1.7	4.89e-07	0.00049	CTD-3239E11.2; TRIQK	0
chr19	10764219	10765536	1318	*	7.3	7.76	6.63	1.13	5.14e-07	0.000503	ILF3-AS1; ILF3	0
chr19	8488739	8489247	509	*	4.41	4.95	3.54	1.41	5.15e-07	0.000503	MARCH2; RP11-886P16.6	0
