seqnames	start	end	width	strand	Conc	Conc_Ctrl	Conc_MB6	Fold	p.value	FDR
chr19	2475777	2477196	1420	*	6.36	5.51	6.9	-1.39	1.5e-12	6.39e-08
chr2	126400788	126401631	844	*	5.82	6.34	4.99	1.36	3.09e-09	5.7e-05
chrX	83989782	83990425	644	*	4.9	5.57	3.6	1.97	4e-09	5.7e-05
chr8	130603778	130604845	1068	*	6	6.49	5.24	1.25	8.3e-09	8.87e-05
chr17	74732508	74734223	1716	*	7.34	6.89	7.68	-0.79	4.09e-07	0.00334
chr17	7387460	7388493	1034	*	6.36	5.75	6.79	-1.04	4.69e-07	0.00334
chr6	148737426	148738016	591	*	4.87	5.42	3.95	1.47	2e-06	0.0122
chr8	130560644	130561041	398	*	4.56	5.13	3.6	1.53	3.25e-06	0.0173
chr18	60759561	60760176	616	*	4.92	5.43	4.1	1.33	6.06e-06	0.0225
chr8	77521432	77521869	438	*	4.66	5.22	3.72	1.5	6.33e-06	0.0225
chr5	166659501	166660255	755	*	4.92	5.42	4.13	1.3	6.68e-06	0.0225
chr1	221951093	221951453	361	*	4.54	5.1	3.6	1.51	6.98e-06	0.0225
chr11	65189466	65190765	1300	*	6.03	5.45	6.45	-1	7.34e-06	0.0225
chr3	79317518	79317983	466	*	4.07	4.71	2.89	1.82	7.37e-06	0.0225
chr3	2677199	2678053	855	*	5.05	5.55	4.29	1.26	9.56e-06	0.0272
chr3	59864622	59865412	791	*	4.45	5.03	3.46	1.57	1.18e-05	0.0302
chrX	65145907	65146901	995	*	5.62	6.04	5.02	1.02	1.2e-05	0.0302
chr4	72096271	72097193	923	*	4.86	5.37	4.07	1.3	1.49e-05	0.0339
chr20	48806859	48808605	1747	*	6.72	6.28	7.05	-0.77	1.51e-05	0.0339
chr19	6530704	6531581	878	*	5.67	5.08	6.08	-1	1.67e-05	0.0341
chr19	1248332	1249391	1060	*	6.29	5.8	6.65	-0.85	1.68e-05	0.0341
chr2	183546863	183547362	500	*	4.5	5.05	3.61	1.44	2.1e-05	0.039
chrX	4158073	4159313	1241	*	5.9	6.31	5.34	0.97	2.1e-05	0.039
chr8	118452143	118452507	365	*	4.84	5.34	4.06	1.29	2.31e-05	0.0393
chr2	211939862	211940393	532	*	5.19	5.64	4.52	1.12	2.41e-05	0.0393
chr10	8601777	8602198	422	*	5.51	5.94	4.9	1.04	2.52e-05	0.0393
chr5	14286726	14287740	1015	*	5.64	6.07	5.02	1.05	2.53e-05	0.0393
chr19	12904264	12904947	684	*	5.71	5.14	6.12	-0.98	2.57e-05	0.0393
chr12	15606520	15606951	432	*	3.9	4.54	2.72	1.81	2.68e-05	0.0395
chr4	59956898	59957746	849	*	5.25	5.7	4.58	1.13	2.89e-05	0.0397
chr1	194258647	194259214	568	*	4.74	5.25	3.94	1.31	3.01e-05	0.0397
chr19	2049877	2051734	1858	*	6.74	6.28	7.09	-0.81	3.06e-05	0.0397
chr2	72353243	72353904	662	*	5.18	5.64	4.51	1.14	3.13e-05	0.0397
chr2	206399658	206400126	469	*	4.4	4.94	3.51	1.43	3.31e-05	0.0397
chr12	43875705	43876996	1292	*	6.15	6.52	5.66	0.86	3.35e-05	0.0397
chr3	191013736	191014311	576	*	5.79	6.18	5.27	0.91	3.37e-05	0.0397
chr17	2304317	2305660	1344	*	7.07	6.64	7.41	-0.77	3.51e-05	0.0397
chr11	58493919	58494645	727	*	4.12	4.7	3.12	1.59	3.67e-05	0.0397
chr17	37025439	37027074	1636	*	6.27	5.8	6.63	-0.83	3.74e-05	0.0397
chr11	64545125	64546721	1597	*	7.38	6.96	7.7	-0.74	3.85e-05	0.0397
chr6	19587248	19588197	950	*	5.21	5.66	4.55	1.11	4.04e-05	0.0397
chr4	47369615	47370591	977	*	6.52	6.85	6.08	0.78	4.05e-05	0.0397
chr19	10764208	10765536	1329	*	6.67	6.24	7	-0.76	4.14e-05	0.0397
chr16	65797244	65798141	898	*	6.02	6.39	5.52	0.87	4.2e-05	0.0397
chr10	85955716	85956268	553	*	4.58	5.1	3.77	1.33	4.3e-05	0.0397
chr19	45970734	45971392	659	*	5.12	4.48	5.56	-1.08	4.32e-05	0.0397
chr11	65624472	65625957	1486	*	6.75	6.31	7.09	-0.78	4.39e-05	0.0397
chr20	16688314	16688727	414	*	4.16	4.75	3.15	1.6	4.47e-05	0.0397
chr13	106752745	106753355	611	*	4.61	5.12	3.81	1.31	4.55e-05	0.0397
chr17	43225479	43226419	941	*	6.31	5.82	6.68	-0.87	5.12e-05	0.0429
chr1	150551375	150552540	1166	*	6.1	5.62	6.47	-0.85	5.22e-05	0.0429
chr10	107666160	107666765	606	*	5.97	6.36	5.45	0.9	5.22e-05	0.0429
chr2	167324741	167325482	742	*	5.09	5.55	4.39	1.16	5.33e-05	0.043
chr8	103973677	103974444	768	*	4.66	5.17	3.88	1.29	5.84e-05	0.0462
chr2	13246453	13246820	368	*	4.81	5.29	4.09	1.21	6.05e-05	0.047
chr20	17595777	17597028	1252	*	5.93	6.3	5.43	0.87	6.56e-05	0.0494
chr16	73430410	73431036	627	*	4.74	5.24	3.95	1.29	6.6e-05	0.0494
