seqnames	start	end	width	strand	Conc	Conc_MB6	Conc_Ctrl	Fold	p.value	FDR	NearestGeneName	NearestGeneEnsemblID	DistanceToNearest
chr19	2475777	2477056	1280	*	6.95	7.57	5.81	1.77	1.46e-16	1.14e-11	GADD45B	ENSG00000099860.4	0
chrX	83989782	83990425	644	*	5.35	4.28	5.96	-1.68	5.51e-12	1.08e-07	SETP4	ENSG00000237211.2	19718
chr10	79110318	79110826	509	*	4.21	4.85	3.07	1.78	1.44e-08	4.49e-05	KCNMA1	ENSG00000156113.16	0
chr16	90061390	90062614	1225	*	6.35	6.96	5.27	1.69	1.3e-07	0.000196	AFG3L1P	ENSG00000223959.4	0
chr8	99350405	99350842	438	*	4.01	4.68	2.72	1.96	1.4e-07	0.000202	KB-1458E12.1	ENSG00000254267.1	32740
chr22	39916806	39917149	344	*	4.52	5.1	3.52	1.57	1.66e-07	0.000232	ATF4	ENSG00000128272.10	0
chr5	97906335	97906765	431	*	3.19	1.46	3.96	-2.5	3.1e-07	0.000373	CTBP2P4	ENSG00000251102.1	5279
chr11	65189592	65189989	398	*	5.66	6.23	4.72	1.51	3.73e-07	0.000423	NEAT1	ENSG00000245532.4	255
chr11	65274045	65275375	1331	*	6.09	6.73	4.93	1.8	3.81e-07	0.000426	MALAT1	ENSG00000251562.3	105
chr8	93961067	93961438	372	*	4.09	3	4.7	-1.7	4.89e-07	0.00049	CTD-3239E11.2; TRIQK	ENSG00000253197.1; ENSG00000205133.7	0
chr21	20250185	20250771	587	*	3.12	1.19	3.92	-2.73	6.32e-07	0.000581	PPIAP22	ENSG00000198618.4	19591
chr8	99317136	99317520	385	*	3.87	4.49	2.76	1.74	6.5e-07	0.000584	NIPAL2	ENSG00000104361.5	10515
chr16	24285200	24285520	321	*	3.13	3.88	1.45	2.43	8.08e-07	0.000651	CACNG3	ENSG00000006116.3	0
chr7	140858428	140858722	295	*	3.81	4.43	2.68	1.75	2.3e-06	0.00128	TMEM178B	ENSG00000261115.1	0
chr1	81105508	81105928	421	*	3.25	1.66	3.99	-2.33	3.08e-06	0.00151	RP5-887A10.1	ENSG00000234184.1	0
chr5	177943660	177944393	734	*	4.25	3.29	4.82	-1.53	3.11e-06	0.00151	COL23A1	ENSG00000050767.11	0
chr16	29605921	29606121	201	*	3.49	4.13	2.32	1.81	4.05e-06	0.0018	RP11-345J4.8	ENSG00000205534.5	0
chr12	23820413	23820796	384	*	3.66	2.51	4.29	-1.78	5.38e-06	0.00219	SOX5	ENSG00000134532.11	0
chr12	74902660	74902977	318	*	2.73	0.81	3.52	-2.71	5.52e-06	0.00221	ATXN7L3B	ENSG00000253719.2	28573
chr8	81428545	81428884	340	*	3.07	1.55	3.79	-2.24	6.99e-06	0.00259	ZBTB10	ENSG00000205189.7	0
chr14	64348675	64348968	294	*	2.99	1.44	3.71	-2.27	7.26e-06	0.00266	SYNE2	ENSG00000054654.11	0
chr5	35741311	35741873	563	*	4.14	3.1	4.74	-1.63	1.01e-05	0.00338	SPEF2; CTD-2113L7.1	ENSG00000152582.8; ENSG00000248969.1	0
chr7	51191415	51191746	332	*	4.13	4.7	3.2	1.5	1.05e-05	0.00346	COBL	ENSG00000106078.13	0
chr2	161146408	161146820	413	*	3.41	2.08	4.09	-2.02	1.34e-05	0.00396	RBMS1	ENSG00000153250.13	0
chr15	87177258	87177645	388	*	3.32	2.08	3.97	-1.89	1.53e-05	0.00432	AGBL1	ENSG00000166748.8	0
chr7	116824546	116824867	322	*	2.4	0.44	3.2	-2.76	1.56e-05	0.00437	ST7	ENSG00000004866.14	0
chr4	27156316	27156740	425	*	4.17	4.74	3.23	1.51	1.63e-05	0.00446	RP11-415C15.1	ENSG00000251080.1	14643
chr3	3893610	3893928	319	*	2.93	1.37	3.66	-2.29	1.65e-05	0.00448	SUMF1	ENSG00000144455.9	0
chr7	154624303	154624624	322	*	3.31	3.94	2.17	1.77	1.68e-05	0.0045	DPP6	ENSG00000130226.12	0
chr5	10975888	10976440	553	*	3.91	2.96	4.47	-1.51	2.12e-05	0.00516	CTNND2	ENSG00000169862.14	0
chr3	2756499	2756880	382	*	3.95	3	4.51	-1.51	2.23e-05	0.00535	CNTN4	ENSG00000144619.10	0
chr13	110295231	110295894	664	*	3.82	2.88	4.38	-1.51	2.25e-05	0.00537	LINC00676	ENSG00000234854.1	84734
chr7	83968714	83969011	298	*	3.92	2.94	4.5	-1.56	2.6e-05	0.00598	SEMA3A	ENSG00000075213.6	0
chr5	119656289	119656634	346	*	3.12	1.85	3.79	-1.94	2.62e-05	0.006	CTC-552D5.1	ENSG00000251293.1	0
chr2	76676062	76676427	366	*	3.94	2.99	4.51	-1.52	2.78e-05	0.00623	RN7SKP203	ENSG00000200488.1	3526
chr12	90057279	90057713	435	*	3.21	1.91	3.88	-1.97	3.16e-05	0.00664	ATP2B1	ENSG00000070961.10	0
chr12	75167396	75167815	420	*	2.55	0.91	3.29	-2.38	3.48e-05	0.0071	RP11-361A23.3	ENSG00000257998.1	44765
chr3	154052794	154052991	198	*	2.33	0.44	3.13	-2.69	3.77e-05	0.0073	GPR149	ENSG00000174948.5	2469
chr4	74768929	74769301	373	*	3.34	2.15	3.98	-1.83	3.96e-05	0.00752	CXCL1	ENSG00000163739.4	31970
chr16	46408570	46408743	174	*	3.71	4.28	2.76	1.52	4.26e-05	0.00796	ANKRD26P1	ENSG00000261239.2	94509
chr6	155307848	155308177	330	*	2.86	1.39	3.57	-2.18	4.45e-05	0.00821	TIAM2	ENSG00000146426.13	0
chr2	82062349	82062806	458	*	3.41	2.29	4.03	-1.74	4.56e-05	0.00823	RN7SL201P	ENSG00000242118.2	131396
chr1	150576950	150577527	578	*	3.5	4.07	2.56	1.51	4.89e-05	0.00858	ENSA	ENSG00000143420.13	0
chr3	60003408	60003783	376	*	3.46	2.41	4.06	-1.65	4.98e-05	0.0086	FHIT	ENSG00000189283.5	0
chrX	35071862	35072253	392	*	3.14	1.86	3.8	-1.95	5.26e-05	0.00885	AL596268.1	ENSG00000222864.1	2194
chr1	204026860	204027208	349	*	3.42	4.01	2.4	1.6	5.35e-05	0.00894	SOX13	ENSG00000143842.10	15034
chr7	85059009	85059309	301	*	2.58	0.81	3.35	-2.54	5.37e-05	0.00895	LINC00972	ENSG00000225128.1	0
chr20	20595542	20595944	403	*	3.52	4.13	2.44	1.68	5.45e-05	0.00896	RALGAPA2	ENSG00000188559.9	0
chr4	68166217	68166500	284	*	2.89	1.51	3.58	-2.08	5.76e-05	0.0093	RP11-584P21.2	ENSG00000250075.1	116522
chr18	25029135	25029580	446	*	3.32	2.19	3.95	-1.76	5.86e-05	0.00934	RP11-739N10.1	ENSG00000264151.1	0
chr2	210686603	210686951	349	*	3.51	2.5	4.1	-1.61	6.02e-05	0.0095	UNC80	ENSG00000144406.14	0
chr11	85809068	85809382	315	*	2.67	1.19	3.39	-2.2	6.35e-05	0.00981	snoU13	ENSG00000238666.1	3731
chrY	17577682	17578154	473	*	3.12	1.74	3.81	-2.07	6.71e-05	0.0101	HDHD1P1	ENSG00000234620.1	9728
chr4	70175168	70175611	444	*	2.97	1.62	3.65	-2.03	7.29e-05	0.0107	RP11-618I10.4	ENSG00000251691.2	2277
chr8	86195431	86195675	245	*	2.71	1.27	3.41	-2.15	7.76e-05	0.0111	CA13	ENSG00000185015.3	0
chr6	20188865	20189225	361	*	3.42	2.4	4.02	-1.62	7.99e-05	0.0114	MBOAT1	ENSG00000172197.9	0
chr9	26437361	26437768	408	*	3.17	2.05	3.79	-1.74	8.04e-05	0.0114	AL442639.1	ENSG00000266429.1	176269
chr11	58331727	58332057	331	*	2.86	1.55	3.54	-1.99	8.39e-05	0.0115	LPXN	ENSG00000110031.8	0
chr14	43353301	43353713	413	*	3.91	2.97	4.48	-1.51	8.43e-05	0.0115	RP11-97N10.1	ENSG00000258934.1	75986
chr7	120567765	120568141	377	*	2.62	1.13	3.34	-2.21	9.02e-05	0.012	ING3	ENSG00000071243.11	22661
chr19	46766177	46766507	331	*	3.12	3.74	2	1.75	9.28e-05	0.0122	IGFL1P2	ENSG00000268238.1	2062
chr10	25547572	25547904	333	*	3.04	1.79	3.69	-1.9	9.44e-05	0.0123	GPR158	ENSG00000151025.9	0
chr2	67843908	67844300	393	*	2.78	1.44	3.47	-2.03	0.000103	0.013	AC010987.5	ENSG00000235495.1	0
chr6	52568931	52569212	282	*	2.84	1.37	3.56	-2.19	0.000105	0.0131	RP1-152L7.3	ENSG00000220377.1	308
chr7	13179159	13179423	265	*	2.91	1.62	3.58	-1.96	0.000105	0.0131	AC011288.2	ENSG00000229618.1	0
chr4	111076823	111077180	358	*	3.17	2.01	3.81	-1.8	0.000107	0.0132	ELOVL6	ENSG00000170522.5	0
chr6	88535606	88535855	250	*	2.47	0.84	3.21	-2.37	0.00011	0.0133	Y_RNA	ENSG00000207131.1	35
chr11	49349313	49349668	356	*	2.68	1.11	3.42	-2.31	0.000124	0.0143	CTD-2026G22.1	ENSG00000255532.1	0
chr14	57226890	57227230	341	*	3.56	4.13	2.63	1.5	0.000138	0.0154	RP11-1085N6.4	ENSG00000258703.1	0
chr3	56153963	56154380	418	*	3.45	4.02	2.48	1.54	0.000141	0.0155	ERC2	ENSG00000187672.8	0
chr14	41163304	41163650	347	*	2.87	1.37	3.59	-2.22	0.000141	0.0155	RP11-129M6.1	ENSG00000251363.2	260452
chr7	35502884	35503147	264	*	2.21	0.44	2.98	-2.54	0.000143	0.0155	AC007652.1	ENSG00000235464.1	32483
chr16	14181998	14182309	312	*	3.15	3.8	1.95	1.85	0.000147	0.0156	MKL2	ENSG00000186260.12	0
chr10	96391153	96391629	477	*	3.38	2.34	3.98	-1.63	0.000147	0.0156	CTBP2P2	ENSG00000235746.1	14491
chr3	109522144	109522513	370	*	3.33	2.3	3.93	-1.63	0.000147	0.0156	RP11-457K10.1	ENSG00000242029.1	0
chr12	82352287	82352627	341	*	2.78	1.39	3.47	-2.08	0.000152	0.0159	RP11-362A1.1	ENSG00000257747.1	0
chr14	35017054	35017413	360	*	3.41	4	2.41	1.58	0.000154	0.0159	RNU1-27P	ENSG00000206596.1	971
chr3	62164449	62164782	334	*	3.42	4.02	2.35	1.67	0.000155	0.016	PTPRG	ENSG00000144724.14	0
chr12	61146362	61146696	335	*	3.28	2.14	3.9	-1.76	0.00016	0.0164	RP11-154D9.1	ENSG00000257865.1	333288
chr8	74371846	74372255	410	*	3.38	2.44	3.94	-1.5	0.000163	0.0166	STAU2	ENSG00000040341.13	0
chr15	22571124	22571430	307	*	3.2	2.08	3.82	-1.74	0.000165	0.0167	RP11-603B24.1	ENSG00000258732.1	301
chr1	149764076	149764323	248	*	3.48	4.1	2.35	1.75	0.000172	0.0171	HIST2H2BF; RP11-196G18.21; RP11-196G18.3	ENSG00000203814.5; ENSG00000242663.1; ENSG00000233030.2	0
chr5	155964698	155965023	326	*	3.03	1.91	3.66	-1.74	0.000179	0.0174	SGCD	ENSG00000170624.9	0
chr20	12183156	12183544	389	*	3.21	1.98	3.86	-1.88	0.000182	0.0176	RP4-796I8.1	ENSG00000235292.1	40998
chrX	41351002	41351345	344	*	2.98	3.61	1.84	1.77	0.000189	0.0181	NYX	ENSG00000188937.5	16039
chr10	24841195	24841636	442	*	3.24	2.2	3.84	-1.64	0.000198	0.0185	KIAA1217	ENSG00000120549.11	4423
chr3	78325152	78325463	312	*	2.52	0.91	3.27	-2.36	0.000203	0.0187	RP11-314M24.1	ENSG00000240241.1	0
chr5	106490348	106490657	310	*	2.4	0.84	3.13	-2.29	0.000216	0.0194	PSMC1P5	ENSG00000250273.1	40199
chr4	142273665	142273892	228	*	2.7	1.37	3.38	-2	0.000226	0.0198	RP11-362F19.1	ENSG00000248810.1	19893
chr1	198425029	198425432	404	*	3.4	2.41	3.98	-1.56	0.00023	0.0201	ATP6V1G3	ENSG00000151418.7	66919
chr5	23305288	23305505	218	*	2.23	2.92	0.82	2.1	0.000231	0.0202	CTD-2272G21.2	ENSG00000250332.1	36
chr6	112497434	112497699	266	*	3.12	2	3.74	-1.74	0.000235	0.0204	LAMA4	ENSG00000112769.14	0
chr18	57543439	57543751	313	*	3.34	2.39	3.9	-1.51	0.000238	0.0206	PMAIP1	ENSG00000141682.11	23428
chr1	72474847	72475169	323	*	2.53	1.13	3.22	-2.09	0.000241	0.0207	NEGR1	ENSG00000172260.9	0
chrX	9842062	9842340	279	*	2.52	1.13	3.21	-2.08	0.000244	0.0208	SHROOM2	ENSG00000146950.8	0
chr4	153498867	153499201	335	*	3.58	2.59	4.16	-1.57	0.000252	0.0213	RP11-555K12.1	ENSG00000243417.1	25351
chrX	126321009	126321425	417	*	3.24	2.2	3.84	-1.64	0.000255	0.0214	RP3-428A13.1	ENSG00000230538.1	202898
chr5	103521850	103522255	406	*	3.73	2.74	4.32	-1.58	0.000261	0.0217	RN7SL255P	ENSG00000239808.2	73978
chr20	49889000	49889359	360	*	3.25	2.23	3.84	-1.61	0.00027	0.0221	AL035457.1	ENSG00000263592.1	94864
chr7	154939582	154939862	281	*	3.2	3.78	2.22	1.56	0.000279	0.0225	RN7SKP280	ENSG00000201066.1	33728
chr3	112692560	112692885	326	*	2.94	1.85	3.56	-1.71	0.000281	0.0226	CD200R1	ENSG00000163606.6	0
chr5	109212780	109213128	349	*	2.43	0.91	3.15	-2.24	0.000284	0.0227	AC011366.3	ENSG00000254106.1	5754
chr5	23419239	23419517	279	*	2.38	0.84	3.11	-2.26	0.000289	0.023	CTD-2351A8.1	ENSG00000248591.1	37059
chr11	123978863	123979155	293	*	2.54	1.16	3.23	-2.08	0.000296	0.0233	OR10N1P	ENSG00000213181.2	2188
chr18	33273702	33274156	455	*	3.2	2.16	3.8	-1.64	0.000307	0.0238	GALNT1	ENSG00000141429.9	0
chr13	32883469	32883919	451	*	3.29	2.33	3.86	-1.53	0.00032	0.0243	ZAR1L	ENSG00000189167.7	0
chr9	20804915	20805210	296	*	3.06	1.95	3.68	-1.73	0.000328	0.0246	FOCAD	ENSG00000188352.8	0
chr11	80609972	80610320	349	*	2.83	1.66	3.47	-1.82	0.000339	0.0251	RP11-170L9.1	ENSG00000254437.1	58039
chr15	99317768	99318091	324	*	3.33	2.32	3.92	-1.6	0.000354	0.0256	IGF1R	ENSG00000140443.9	0
chr5	161140185	161140518	334	*	2.94	1.77	3.58	-1.8	0.000364	0.0261	GABRA6	ENSG00000145863.6	10586
chr8	30730429	30730718	290	*	2.51	1.11	3.21	-2.11	0.000387	0.0271	TEX15	ENSG00000133863.2	0
chr12	16986391	16986665	275	*	2.54	1.19	3.22	-2.04	0.000389	0.0271	RP11-239A17.1	ENSG00000255740.2	45612
chr20	8516612	8516866	255	*	2.12	0.44	2.88	-2.44	0.00039	0.0271	PLCB1	ENSG00000182621.12	0
chr2	9258608	9259140	533	*	3.24	2.27	3.82	-1.55	0.000392	0.0272	RP11-734K21.3	ENSG00000244310.1	1595
chr13	66796337	66796577	241	*	3.19	2.18	3.78	-1.59	0.000396	0.0273	MIR4704	ENSG00000263561.1	3881
chr3	153161743	153162024	282	*	2.37	0.91	3.07	-2.16	0.000398	0.0274	RP11-23D24.2	ENSG00000238755.3	0
chr3	167068101	167068362	262	*	2.87	1.6	3.53	-1.93	0.000402	0.0276	ZBBX	ENSG00000169064.8	0
chr1	207536623	207536963	341	*	3.37	3.95	2.39	1.56	0.000412	0.0279	CD55	ENSG00000196352.9	2312
chr2	82498220	82498513	294	*	2.82	1.66	3.46	-1.81	0.00042	0.0282	AC105761.1	ENSG00000229560.1	1169
chr9	76802388	76802733	346	*	2.46	1.11	3.15	-2.04	0.000428	0.0285	RP11-171A24.2	ENSG00000227809.1	183713
chr1	194447139	194447376	238	*	2.85	1.73	3.47	-1.74	0.000428	0.0285	RNU6-983P	ENSG00000251813.1	9856
chr3	76674440	76674884	445	*	2.9	1.67	3.55	-1.88	0.000444	0.029	ROBO2	ENSG00000185008.13	0
chr6	77162152	77162626	475	*	3.24	2.23	3.83	-1.6	0.000462	0.0298	RNU6-261P	ENSG00000238697.1	5346
chr12	80481695	80481982	288	*	2.75	1.49	3.41	-1.92	0.000467	0.03	RP11-244J10.1	ENSG00000230291.4	14693
chr20	11203636	11203934	299	*	2.66	1.37	3.32	-1.95	0.000475	0.0302	RP4-734C18.1	ENSG00000230990.1	10883
chr2	163810476	163810865	390	*	2.77	1.66	3.4	-1.74	0.000481	0.0305	KCNH7	ENSG00000184611.7	115236
chrX	14057523	14057794	272	*	2.79	1.55	3.45	-1.9	0.000483	0.0306	GEMIN8	ENSG00000046647.9	9511
chrX	139170017	139170427	411	*	2.87	1.77	3.49	-1.71	0.000484	0.0307	RN7SL727P	ENSG00000241248.2	1710
chr13	106971472	106971687	216	*	2.68	1.51	3.32	-1.82	0.000486	0.0307	LINC00460	ENSG00000233532.1	57223
chr7	113471426	113471907	482	*	3.31	2.37	3.88	-1.51	0.000492	0.031	PPP1R3A	ENSG00000154415.3	44924
chr10	83851304	83851588	285	*	2.54	1.27	3.2	-1.94	0.000524	0.032	NRG3	ENSG00000185737.8	0
chr9	24602999	24603310	312	*	3.12	3.73	2.06	1.66	0.000531	0.0322	RP11-20A20.2	ENSG00000269957.1	11008
chr4	28009374	28009710	337	*	2.09	0.44	2.83	-2.39	0.000542	0.0325	AC007106.1	ENSG00000251410.1	22689
chr11	102537091	102537402	312	*	3.06	2.04	3.65	-1.62	0.000548	0.0326	RP11-817J15.3	ENSG00000255798.1	14638
chr2	32638061	32638474	414	*	2.79	1.62	3.43	-1.81	0.000558	0.0329	BIRC6	ENSG00000115760.9	0
chr13	79965531	79965792	262	*	2.93	1.82	3.55	-1.73	0.000565	0.0331	RBM26	ENSG00000139746.11	0
chr4	30387296	30387564	269	*	2.31	0.91	3	-2.09	0.000566	0.0331	PCDH7	ENSG00000169851.11	334472
chr15	90094844	90095124	281	*	2.86	3.49	1.7	1.79	0.000577	0.0335	RP11-429B14.1	ENSG00000259713.1	0
chr4	175651870	175652154	285	*	2.57	1.37	3.22	-1.84	0.000615	0.0348	GLRA3	ENSG00000145451.8	0
chr2	16861602	16861929	328	*	2.73	1.49	3.39	-1.9	0.000618	0.0348	FAM49A	ENSG00000197872.7	14003
chr10	99902186	99902502	317	*	2.62	1.42	3.27	-1.85	0.000657	0.036	R3HCC1L	ENSG00000166024.9	0
chr18	75527638	75527953	316	*	2.44	1.27	3.08	-1.81	0.000678	0.0366	RNA5SP461	ENSG00000252260.1	47466
chr7	18796279	18796646	368	*	2.91	1.93	3.49	-1.57	0.000688	0.0369	HDAC9	ENSG00000048052.17	0
chr7	121635102	121635350	249	*	3.02	1.98	3.62	-1.64	0.000689	0.0369	PTPRZ1	ENSG00000106278.7	0
chr6	131406192	131406636	445	*	3.16	2.15	3.74	-1.6	0.000714	0.0374	EPB41L2	ENSG00000079819.12	21730
chrX	12924547	12924868	322	*	3.16	2.16	3.74	-1.58	0.000723	0.0376	TLR8-AS1; TLR8	ENSG00000233338.1; ENSG00000101916.11	0
chr1	191397359	191397681	323	*	3.01	2.07	3.57	-1.5	0.000726	0.0376	RP11-309H21.2	ENSG00000233882.2	199762
chr5	53467879	53468136	258	*	2.48	1.16	3.15	-2	0.000733	0.0378	ARL15	ENSG00000185305.6	0
chr5	100344224	100344706	483	*	3.02	1.98	3.62	-1.64	0.000735	0.0378	ST8SIA4	ENSG00000113532.8	105254
chrX	119596249	119596496	248	*	2.07	0.44	2.82	-2.38	0.000742	0.038	LAMP2	ENSG00000005893.11	0
chr7	122113141	122113484	344	*	2.83	1.75	3.44	-1.69	0.000749	0.0381	CADPS2	ENSG00000081803.11	0
chrX	7504223	7504478	256	*	2.59	1.46	3.22	-1.76	0.00075	0.0381	STS	ENSG00000101846.6	231372
chr6	109523508	109523883	376	*	2.75	1.6	3.38	-1.78	0.000756	0.0383	C6orf183	ENSG00000243587.6	0
chr9	126300101	126300378	278	*	2.1	0.44	2.86	-2.42	0.00079	0.0392	DENND1A	ENSG00000119522.11	0
chr2	55238133	55238445	313	*	3.09	2.06	3.68	-1.62	0.000793	0.0393	RTN4	ENSG00000115310.13	0
chr2	165286777	165287036	260	*	2.22	0.91	2.89	-1.98	0.000798	0.0394	AC110086.1	ENSG00000264074.1	6661
chrX	71277238	71277541	304	*	3.09	2.11	3.66	-1.55	0.000808	0.0398	NHSL2	ENSG00000204131.6	0
chr3	27607773	27608035	263	*	2.24	0.91	2.92	-2	0.000816	0.0399	Y_RNA	ENSG00000238912.1	18424
chr13	36780275	36780562	288	*	2.6	1.55	3.2	-1.65	0.000819	0.04	SOHLH2; CCDC169-SOHLH2	ENSG00000120669.11; ENSG00000250709.1	0
chr11	82521480	82521781	302	*	2.79	1.68	3.41	-1.73	0.000848	0.0407	RP11-718B12.2	ENSG00000255382.1	0
chr4	171745007	171745391	385	*	3.02	2.03	3.61	-1.58	0.000881	0.0416	RP11-213L8.1	ENSG00000249943.1	9308
chrX	28347053	28347388	336	*	2.71	1.39	3.38	-1.99	0.000885	0.0417	AC078988.1	ENSG00000263509.1	47691
chr13	77388130	77388437	308	*	3.01	1.97	3.61	-1.65	0.000888	0.0417	KCTD12	ENSG00000178695.4	65874
